               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,              0.0312,           0.0088098,            0.013276,             0.90089,             0.90257,              0.9644,             0.64686,            0.018528,           0.0044229,           0.0093376,           0.0080794,           0.0080794,           0.0080794
                  99,            0.033415,           0.0090274,            0.014145,             0.90256,             0.90283,             0.97744,             0.57267,            0.020772,            0.004279,           0.0090968,           0.0080596,           0.0080596,           0.0080596
                 100,            0.040692,            0.010975,            0.016967,             0.89317,             0.90262,             0.96535,             0.69374,            0.016815,           0.0043533,             0.00931,           0.0080398,           0.0080398,           0.0080398
                 101,            0.028336,           0.0096434,            0.010186,             0.93257,                 0.9,             0.98115,             0.70475,             0.01735,           0.0042882,           0.0082562,             0.00802,             0.00802,             0.00802
                 102,            0.034927,            0.009263,            0.015597,             0.86423,             0.94626,             0.96863,             0.56966,            0.020455,           0.0046203,           0.0091106,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029937,           0.0084396,            0.023132,             0.98131,             0.93165,              0.9907,             0.78891,            0.012983,           0.0042388,           0.0060586,           0.0079804,           0.0079804,           0.0079804
                 104,            0.028277,           0.0090754,            0.011032,              0.9193,             0.96317,             0.98585,             0.59735,            0.021882,           0.0045849,           0.0060805,           0.0079606,           0.0079606,           0.0079606
                 105,            0.034709,            0.009752,            0.012548,             0.95447,             0.97649,              0.9907,             0.76047,            0.014743,           0.0042361,           0.0056201,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025864,           0.0078319,            0.011212,             0.92461,             0.92246,             0.98674,             0.66812,             0.02331,           0.0045305,           0.0057481,            0.007921,            0.007921,            0.007921
                 107,            0.036413,           0.0086685,            0.013595,             0.98033,              0.9525,              0.9909,             0.72773,            0.014826,           0.0041946,           0.0056257,           0.0079012,           0.0079012,           0.0079012
                 108,            0.028282,           0.0099932,           0.0099802,             0.75115,              0.9308,             0.95336,             0.66481,             0.02051,            0.004304,           0.0056014,           0.0078814,           0.0078814,           0.0078814
                 109,            0.029045,           0.0085331,            0.012714,             0.87711,                0.96,             0.98403,             0.69158,            0.019051,           0.0043634,           0.0049938,           0.0078616,           0.0078616,           0.0078616
                 110,            0.029472,             0.01027,            0.011404,              0.9754,                0.96,             0.98986,             0.67863,            0.020363,           0.0043512,           0.0050571,           0.0078418,           0.0078418,           0.0078418
                 111,            0.033835,           0.0097822,            0.012579,             0.97036,             0.97837,             0.99275,             0.63261,            0.016572,           0.0042243,           0.0051981,            0.007822,            0.007822,            0.007822
                 112,            0.029261,           0.0090649,            0.011209,              0.8533,             0.95324,             0.96476,             0.66782,            0.019028,           0.0043838,           0.0052026,           0.0078022,           0.0078022,           0.0078022
                 113,            0.035558,           0.0092984,             0.01102,              0.9758,                0.98,             0.99346,             0.67556,            0.015258,           0.0040816,           0.0052301,           0.0077824,           0.0077824,           0.0077824
                 114,             0.02528,           0.0087498,            0.012016,             0.97594,                0.96,             0.99275,              0.7804,            0.018045,           0.0043722,           0.0051244,           0.0077626,           0.0077626,           0.0077626
                 115,            0.035013,           0.0091211,            0.017961,             0.98666,                0.98,             0.99352,             0.71186,            0.017213,           0.0042913,           0.0051645,           0.0077428,           0.0077428,           0.0077428
                 116,            0.025283,           0.0088539,            0.011376,             0.74402,                0.96,             0.86427,             0.64494,            0.020507,           0.0045089,             0.00504,            0.007723,            0.007723,            0.007723
                 117,            0.036295,           0.0096466,            0.011595,             0.93705,              0.9651,             0.98722,             0.75197,            0.015608,           0.0044415,           0.0050494,           0.0077032,           0.0077032,           0.0077032
                 118,            0.029359,           0.0074715,            0.010087,             0.97856,                0.96,             0.99275,              0.6625,            0.019683,           0.0046722,           0.0054336,           0.0076834,           0.0076834,           0.0076834
                 119,            0.026076,           0.0083109,            0.010295,                   1,             0.99541,               0.995,             0.74286,             0.01444,           0.0045279,           0.0053947,           0.0076636,           0.0076636,           0.0076636
                 120,            0.029668,             0.00963,            0.013106,             0.96478,             0.98982,               0.995,             0.63147,            0.019884,           0.0046875,           0.0063679,           0.0076438,           0.0076438,           0.0076438
                 121,            0.027226,            0.010238,            0.013164,             0.92173,             0.98644,               0.995,              0.8054,            0.013484,           0.0042182,           0.0067103,            0.007624,            0.007624,            0.007624
                 122,            0.032625,           0.0091463,            0.017481,             0.95552,             0.99262,               0.995,             0.61022,            0.021688,           0.0047346,           0.0065896,           0.0076042,           0.0076042,           0.0076042
                 123,            0.027739,           0.0090026,               0.012,             0.99344,             0.99232,               0.995,             0.80404,            0.010814,           0.0041291,           0.0057724,           0.0075844,           0.0075844,           0.0075844
                 124,            0.027131,           0.0092864,            0.011426,             0.95855,             0.95776,             0.99224,             0.63445,            0.023651,           0.0046166,           0.0052447,           0.0075646,           0.0075646,           0.0075646
                 125,            0.031127,           0.0096029,            0.013472,             0.96924,                0.98,             0.99346,             0.81398,            0.013083,           0.0040001,            0.005094,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028362,           0.0074881,            0.014548,             0.97672,                0.98,             0.99346,              0.6359,            0.019839,           0.0043682,           0.0050267,            0.007525,            0.007525,            0.007525
                 127,            0.025335,           0.0077333,           0.0078676,             0.97802,                0.98,             0.99346,             0.74394,            0.017311,            0.004257,           0.0052354,           0.0075052,           0.0075052,           0.0075052
                 128,            0.030304,           0.0093654,            0.012418,             0.97787,                0.98,             0.99346,             0.80433,             0.01211,           0.0040346,           0.0052699,           0.0074854,           0.0074854,           0.0074854
                 129,            0.026644,           0.0081864,            0.014224,             0.97498,                0.98,             0.99209,             0.56712,            0.022656,           0.0045232,           0.0050372,           0.0074656,           0.0074656,           0.0074656
                 130,            0.033461,           0.0094145,            0.016447,             0.97417,                0.98,             0.99346,             0.83881,            0.014843,           0.0040602,           0.0050555,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025431,           0.0079831,           0.0095733,             0.97606,                0.98,             0.99132,             0.62633,            0.016505,           0.0041964,           0.0050899,            0.007426,            0.007426,            0.007426
                 132,            0.024359,           0.0078708,            0.011888,             0.91293,             0.96528,             0.98669,             0.76096,            0.016751,           0.0042763,           0.0051329,           0.0074062,           0.0074062,           0.0074062
                 133,            0.028445,           0.0087792,             0.01056,             0.97606,                0.98,             0.99044,             0.80538,            0.012489,            0.004111,           0.0050737,           0.0073864,           0.0073864,           0.0073864
                 134,            0.025403,           0.0077999,            0.015826,              0.9402,                0.98,             0.99058,             0.68878,             0.01759,           0.0044318,            0.004987,           0.0073666,           0.0073666,           0.0073666
                 135,            0.029943,             0.01119,           0.0099487,             0.97402,                0.98,             0.99275,             0.74841,            0.014338,           0.0041942,           0.0048836,           0.0073468,           0.0073468,           0.0073468
                 136,            0.025742,           0.0074332,             0.01233,             0.97794,             0.97157,             0.99275,             0.60528,            0.019425,           0.0043813,           0.0048897,            0.007327,            0.007327,            0.007327
                 137,            0.028884,           0.0085634,            0.009632,             0.97552,                0.98,             0.99346,              0.8065,            0.012242,           0.0038984,           0.0047823,           0.0073072,           0.0073072,           0.0073072
                 138,            0.024801,           0.0087882,            0.011249,             0.97786,                0.98,             0.99352,             0.63908,            0.018867,           0.0042625,           0.0048427,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027491,            0.009356,            0.011664,             0.97687,                0.98,             0.99275,             0.77533,            0.017231,           0.0041662,           0.0048536,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027201,           0.0085012,            0.010778,             0.97432,                0.98,             0.99352,             0.59377,            0.017303,           0.0042338,           0.0048949,           0.0072478,           0.0072478,           0.0072478
                 141,            0.030642,           0.0091577,            0.010023,             0.97771,                0.98,             0.99346,             0.80432,            0.015294,           0.0039782,           0.0048625,            0.007228,            0.007228,            0.007228
                 142,            0.023588,           0.0068268,            0.011901,             0.97372,                0.98,              0.9875,             0.67919,            0.015444,           0.0040139,           0.0047932,           0.0072082,           0.0072082,           0.0072082
                 143,            0.025547,           0.0088377,            0.010995,             0.97543,                0.98,             0.99352,             0.67366,            0.017548,           0.0040628,           0.0047259,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027519,             0.00893,           0.0093365,             0.97341,                0.98,             0.99423,              0.7377,            0.014884,           0.0039262,            0.004809,           0.0071686,           0.0071686,           0.0071686
                 145,            0.026827,           0.0095012,            0.017886,             0.97572,                0.98,             0.99198,             0.67667,            0.018314,           0.0041173,           0.0047948,           0.0071488,           0.0071488,           0.0071488
                 146,            0.026097,           0.0067245,            0.011315,             0.97533,                0.98,             0.99198,             0.71162,            0.014165,           0.0039095,           0.0048941,            0.007129,            0.007129,            0.007129
                 147,            0.028852,           0.0090776,            0.013011,             0.97505,                0.98,             0.99269,             0.73138,            0.014972,           0.0040295,           0.0048548,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026912,           0.0088848,            0.013108,             0.96945,                0.98,             0.99275,             0.67621,            0.018193,           0.0041195,           0.0048386,           0.0070894,           0.0070894,           0.0070894
                 149,            0.031153,           0.0094339,            0.014131,             0.97938,             0.98398,             0.99346,             0.79143,            0.011889,           0.0037898,           0.0047677,           0.0070696,           0.0070696,           0.0070696
                 150,            0.021446,           0.0068831,           0.0089183,             0.97941,             0.98348,             0.99423,             0.68336,            0.016031,           0.0039911,           0.0048042,           0.0070498,           0.0070498,           0.0070498
                 151,            0.027721,           0.0088805,            0.010023,             0.97714,                0.98,             0.99352,             0.68944,            0.013718,           0.0037681,           0.0047896,             0.00703,             0.00703,             0.00703
                 152,            0.025215,           0.0066675,            0.010975,             0.97795,                0.98,             0.98978,             0.73269,            0.016526,           0.0040741,            0.005053,           0.0070102,           0.0070102,           0.0070102
                 153,            0.024529,           0.0079819,            0.010638,             0.97643,                0.98,             0.98121,             0.70533,            0.013624,           0.0037698,           0.0052804,           0.0069904,           0.0069904,           0.0069904
                 154,            0.025691,           0.0064409,           0.0094502,             0.97701,                0.98,             0.98577,             0.70408,             0.01338,           0.0037426,           0.0052095,           0.0069706,           0.0069706,           0.0069706
                 155,            0.023448,           0.0086899,            0.011633,             0.97822,                0.98,             0.99346,             0.74612,            0.015855,           0.0040362,           0.0048086,           0.0069508,           0.0069508,           0.0069508
                 156,            0.028663,           0.0085708,            0.010089,             0.82606,             0.98017,             0.94581,             0.67538,            0.014682,           0.0039348,            0.004826,            0.006931,            0.006931,            0.006931
